,Healthcare
468,HLVX
469,HOLX
470,HOOK
471,HOTH
472,HOWL
473,HPCO
474,HQY
475,HRMY
476,HROW
477,HRTX
478,HSCS
479,HSDT
480,HSIC
481,HSKA
482,HSTM
483,HSTO
484,HTGM
485,HUGE
486,HUMA
487,HYPR
488,HZNP
489,IART
490,IBRX
491,ICAD
492,ICCC
493,ICCM
494,ICLR
495,ICPT
496,ICUI
497,ICVX
498,IDRA
499,IDXX
500,IDYA
501,IFRX
502,IGMS
503,IINN
504,IKNA
505,IKT
506,ILMN
507,IMAB
508,IMCC
509,IMCR
510,IMGN
511,IMGO
512,IMMP
513,IMMX
514,IMNM
515,IMNN
516,IMPL
517,IMRA
518,IMRN
519,IMRX
520,IMTX
521,IMUX
522,IMV
523,IMVT
524,INAB
525,INBX
526,INCR
527,INCY
528,INDP
529,INFI
530,INGN
531,INKT
532,INM
533,INMB
534,INMD
535,INNV
536,INO
537,INSM
538,INVA
539,INVO
540,INZY
541,IOBT
542,IONM
543,IONS
544,IOVA
545,IPA
546,IPHA
547,IPSC
548,IRIX
549,IRMD
550,IRTC
551,IRWD
552,ISEE
553,ISO
554,ISPC
555,ISRG
556,ITCI
557,ITOS
558,ITRM
559,IVA
560,IVVD
561,IXHL
562,JAGX
563,JANX
564,JAZZ
565,JNCE
566,JSPR
567,JUPW
568,JYNT
569,KALA
570,KALV
571,KDNY
572,KERN
573,KIDS
574,KMDA
575,KMPH
576,KNSA
577,KNTE
578,KOD
579,KPRX
580,KPTI
581,KRBP
582,KRMD
583,KRON
584,KROS
585,KRTX
586,KRYS
587,KTRA
588,KTTA
589,KURA
590,KYMR
591,KZIA
592,KZR
593,LAB
594,LABP
595,LBPH
596,LEGN
597,LEXX
598,LFLY
599,LFMD
600,LFMDP
601,LFST
602,LGND
603,LGVN
604,LHCG
605,LHDX
606,LIAN
607,LIFE
608,LIVN
609,LIXT
610,LMAT
611,LMDX
612,LMNL
613,LNSR
614,LNTH
615,LOGC
616,LPCN
617,LPTX
618,LQDA
619,LRMR
620,LSTA
621,LTRN
